year,country,Debt_to_GDP,Deficit_to_GDP,Debt_Growth,GDP,Debt,Deficit,cluster
2010,CY,60.082420829243986,-5.058809625355196,8.61471579983839,19461.1,11692.7,-984.5,1
2011,CY,69.88281859795248,-5.941656049672427,18.68430730284707,19858.1,13877.4,-1179.9,1
2012,CY,84.35066733691023,-15.217435907957773,18.49842189459121,19495.4,16444.5,-2966.7,2
2013,CY,108.27480695997293,-5.594696318797359,18.781963574447367,18040.3,19533.1,-1009.3,1
2014,CY,113.48239412451096,-8.797217836959755,1.5706672264003352,17482.8,19839.9,-1538.0,1
2015,CY,111.59539015392161,-0.7684934407775214,0.9324643773406027,17944.2,20024.9,-137.9,1
2016,CY,106.92128874817239,0.45282899788574615,1.5226043575748083,19013.8,20329.8,86.1,1
2017,CY,96.47899805045193,2.1262873909533093,-3.6035770150222746,20312.4,19597.2,431.9,0
2018,CY,100.7190087950183,-3.3666853144287825,12.080297185312183,21807.8,21964.6,-734.2,1
2019,CY,92.2934587985932,1.0290202513578537,-1.6713256785919062,23400.9,21597.5,240.8,1
2020,CY,113.60397969034935,-5.57710873529517,17.686306285449692,22373.6,25417.3,-1247.8,1
2021,CY,96.4801264802433,-1.5868441855303175,-2.523084670677056,25679.9,24776.0,-407.5,1
2022,CY,80.32679606279558,2.6816976664170493,-3.8860187278010994,29645.4,23813.2,795.0,0
2023,CY,71.14725393967792,1.7096599176305212,-3.0806443485125956,32439.2,23079.6,554.6,0
2024,CY,62.76294067908727,4.138889048668113,-5.445501655141339,34770.2,21822.8,1439.1,0
1996,CZ,11.576681144226448,-2.976074584394189,-0.2580728410593869,53416.0,6183.8,-1589.7,0
1997,CZ,11.455089842065009,-3.1364069698738186,2.2073805750509434,55174.6,6320.3,-1730.5,0
1998,CZ,14.214101577497843,-4.138625677097444,35.30845054823346,60164.9,8551.9,-2490.0,2
1999,CZ,15.414248158463263,-3.0805070407871105,10.796431202422863,61470.4,9475.2,-1893.6,0
2000,CZ,17.16056562012307,-3.54699358544531,22.085021952043206,67409.2,11567.8,-2391.0,2
2001,CZ,24.085783469566426,-5.757283365715533,58.389667871159624,76070.6,18322.2,-4379.6,2
2002,CZ,25.073949922490687,-6.3449432148881675,20.148781259892367,87795.9,22013.9,-5570.6,2
2003,CZ,27.573241792333214,-6.874792054457004,11.432776563898251,88965.6,24530.7,-6116.2,2
2004,CZ,29.613892595545675,-2.405012042618061,16.886187511974793,96822.8,28673.0,-2328.6,0
2005,CZ,28.424145163685893,-3.06116349752035,9.460468036131541,110418.8,31385.6,-3380.1,0
2006,CZ,28.424280862884256,-2.185791472314325,12.806509991843406,124559.0,35405.0,-2722.6,0
2007,CZ,28.514696088842488,-0.6779099695818859,11.866120604434393,138897.5,39606.2,-941.6,0
2008,CZ,26.134090237883697,-1.9988606889495477,6.797925577308606,161852.2,42298.6,-3235.2,0
2009,CZ,33.382489207929346,-5.4562350798743875,17.792078224811235,149253.1,49824.4,-8143.6,2
2010,CZ,37.02667170722624,-4.144167527135326,18.535898074036016,159506.1,59059.8,-6610.2,2
2011,CZ,37.572975553227195,-2.711811486951013,5.953795983054455,166545.5,62576.1,-4516.4,0
2012,CZ,43.83180446435441,-3.9175155746784616,14.706253665536838,163759.4,71778.7,-6415.3,0
2013,CZ,41.812301364741074,-1.2984981616501525,-6.523522994983189,160470.0,67096.2,-2083.7,0
2014,CZ,41.248117037703274,-2.0934452470729568,-2.258250094640224,158991.5,65581.0,-3328.4,0
2015,CZ,39.84341510127704,-0.6657585031839477,3.603025266464366,170527.3,67943.9,-1135.3,0
2016,CZ,36.24967135725685,0.6848607754908151,-4.421441807137938,179145.9,64939.8,1226.9,0
2017,CZ,34.828277303855316,1.4603125872032294,5.514183905709591,196738.7,68520.7,2873.0,0
2018,CZ,31.58294825329945,0.8815233713058311,-1.5898845166497089,213505.4,67431.3,1882.1,0
2019,CZ,29.856451446274235,0.2827729094224362,1.5740464739668392,229406.7,68492.7,648.7,0
2020,CZ,37.18232350145659,-5.649750851752026,19.5990229615711,220310.6,81916.6,-12447.0,2
2021,CZ,41.972129035824636,-4.9511752054673694,26.050885901026156,246012.3,103256.6,-12180.5,2
2022,CZ,43.313814914655126,-3.0687846543692734,20.380295303157368,286976.8,124300.6,-8806.7,0
2023,CZ,40.99297052232363,-3.7347018528099896,5.235372958778961,319099.1,130808.2,-11917.4,0
2024,CZ,43.185466685498014,-2.0291094048575533,5.8907621999232385,320741.7,138513.8,-6508.2,0
1996,DE,56.6243671500304,-3.6384158801994744,3.3057545152694656,1975310.2,1118506.9,-71870.0,0
1997,DE,58.47030428399902,-3.0272269636252735,2.3875310916723125,1958620.9,1145211.6,-59291.9,0
1998,DE,59.84240584686296,-2.6495464722332356,4.961074442487301,2008653.2,1202026.4,-53220.2,0
1999,DE,60.349208565211526,-1.8664670428068013,4.290379978343228,2077240.0,1253597.9,-38771.0,0
2000,DE,59.23878459472404,-1.71431120460543,0.6371101929893097,2129660.0,1261584.7,-36509.0,0
2001,DE,58.06156144530022,-3.1246213898238695,1.0442659933970422,2195530.0,1274759.0,-68602.0,0
2002,DE,59.82311006764537,-4.086157887161773,4.33996543660411,2223360.0,1330083.1,-90850.0,1
2003,DE,63.34432638197794,-3.82950807966762,6.71709158623246,2240810.0,1419426.0,-85812.0,1
2004,DE,64.96488940445872,-3.421004430799288,4.948824383941108,2293040.0,1489670.9,-78445.0,1
2005,DE,67.12016975461258,-3.370841592459937,4.789621654017684,2325710.0,1561020.5,-78396.0,1
2006,DE,66.39671005448895,-1.7551871666570493,3.195550602954933,2426180.0,1610903.7,-42584.0,0
2007,DE,63.6870373138438,0.15486464586070442,0.5066038398198636,2542220.0,1619064.6,3937.0,0
2008,DE,65.17031761725268,-0.26296885620713095,4.2232657053955736,2589280.0,1687442.0,-6809.0,0
2009,DE,72.36237805587076,-3.175940368168021,6.948624011966031,2493970.0,1804696.0,-79207.0,1
2010,DE,81.0336945466225,-4.420975352355024,17.42929557111004,2615260.0,2119241.8,-115620.0,1
2011,DE,78.48366710230769,-0.8399983982001594,1.7286323816376292,2746910.0,2155875.7,-23074.0,1
2012,DE,79.83490397530794,-0.05433540053156526,3.661008842021829,2799280.0,2234802.5,-1521.0,0
2013,DE,77.45670648321286,0.12251960592782786,-0.6497889634542675,2866480.0,2220281.0,3512.0,0
2014,DE,74.5378408896722,0.7315201694103141,0.1927008338133751,2984470.0,2224559.5,21832.0,0
2015,DE,71.18407660437377,0.914762733112409,-1.2175758841244888,3087030.0,2197473.8,28239.0,0
2016,DE,68.30145749418661,1.1341038617180093,-0.6870980668802429,3195210.0,2182375.0,36237.0,0
2017,DE,63.987804182880254,1.3372195937127787,-2.2723454951600885,3333110.0,2132783.9,44571.0,0
2018,DE,60.75753560685259,1.8831227449964036,-2.1733050404215803,3434030.0,2086432.0,64667.0,0
2019,DE,58.68419520083228,1.327262755563597,-0.5084134062360968,3537280.0,2075824.3,46949.0,0
2020,DE,68.04193037974683,-4.379694672416192,13.108633519705881,3450720.0,2347936.5,-151131.0,1
2021,DE,67.93828652432964,-3.167279501621252,6.549674575952125,3682340.0,2501718.7,-116630.0,1
2022,DE,64.39695793091174,-1.9085123289525465,2.691233830566153,3989390.0,2569045.8,-76138.0,0
2023,DE,62.345968890648,-2.494459994643674,2.394815226727376,4219310.0,2630569.7,-105249.0,0
2024,DE,62.2268160786515,-2.6633356202514684,2.4029205536732157,4328970.0,2693780.2,-115295.0,0
2001,DK,50.20152443925051,1.125137390684803,-2.8414710151248634,184146.4,92444.3,2071.9,0
2002,DK,50.33131095113381,0.251635234197123,3.4223851551691054,189957.5,95608.1,478.0,0
2003,DK,48.06975976765335,0.13932949359564598,-2.640989623264134,193641.7,93083.1,269.8,0
2004,DK,46.22195697823581,2.234768197070806,0.7612552654563398,202915.9,93791.7,4534.7,0
2005,DK,39.31401866793763,5.201706424021906,-10.558183719881399,213381.9,83889.0,11099.5,0
2006,DK,33.20479845828968,5.286439349376292,-10.572423082883342,225930.9,75019.9,11943.7,0
2007,DK,29.452231618882184,5.307825860979773,-8.14903778864008,233960.2,68906.5,12418.2,0
2008,DK,35.56491613179131,3.4624656136842393,25.275844804191184,242720.1,86323.2,8404.1,0
2009,DK,43.07426701683386,-2.746157489129031,15.900012974495858,232270.0,100048.6,-6378.5,0
2010,DK,46.084911473524215,-2.520519245779074,12.130004817658602,243430.0,112184.5,-6135.7,0
2011,DK,50.096531710364566,-1.7655428145341687,10.792489158484454,248105.0,124292.0,-4380.4,0
2012,DK,48.59825395683142,-3.2024685736217005,-0.5682586168055836,254300.7,123585.7,-8143.9,0
2013,DK,47.7609593928736,-0.9436644899179597,0.29833548703450674,259530.8,123954.4,-2449.1,0
